"asset_name","asset_type","asset_notes","live_music","event_venu","discipline","web_notes","website","council_district","coa_facility","mapkey","date_updat","map_list","source","location_1"
"Indian Classical Music Circle of Austin","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Music","The Indian Classical Music Circle of Austin (ICMCA) is a non-profit, 501(c)(3) organization formed in 1991 by a voluntary group of Austinites.  The ICMCA's objective is to arrange programs by accomplished Indian classical performing artists, thereby enri","http://www.icmca.org","0"," ","76","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Indian Classical Music Circle Of Austin (Icmca)","Organization","Band, Musical Group, Ensemble"," "," ","Music","The Indian Classical Music Circle of Austin (ICMCA) is a Non-Profit 501©(3) organization with the mission of bringing the very best of Indian classical music and dance to Central Texas.
","http://www.icmca.org/events/calendar/","0"," ","271","2014","list","SIAP","
Austin, TX 78720
(0.0, 0.0)"
"Indian Classical Music Circle of Austin ICMCA","Organization","Dance Company"," "," ","Multidisciplinary"," ","http://www.icmca.org/about/mission-vision/","0"," ","634","2016","list","CAMP Kit D1","
Austin, TX 0
(0.0, 0.0)"
"Indian Roller","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music"," ","indianrolleraustin.com","0"," ","487","2016","addrs","D5 Meeting","10006 Manchaca Rd
Austin, TX 78748
(30.172008, -97.825836)"
"Indie Meme","Business","Production Company"," "," ","Theater Arts","At IndieMeme, we do limited theatrical on demand distribution for Asian Indie Documentary &Fiction Films and add their content to digital streaming services in the US. We also provide Independent Films made in the US to streaming services in South Asia,","http://indiememe.com/","0"," ","77","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Indigo Music","Business","Supplier, Retail"," "," ","Music"," "," ","10"," ","10015","2014","xy","SIAP","2806 Bridle Path
Austin, TX 78703
(30.292981, -97.771752)"
"Industry Print Shop","Business","Screen Printing"," "," ","Graphic Design, Printmaking"," ","industryprintshop.com","4"," ","4002","2016","addrs","SIAP","705 Wallingford Bend
Austin, TX 78702
(30.335589, -97.719221)"
"Inferno Films","Business","Video Production"," "," ","Film/TV/Media"," "," ","9"," ","9465","2014","xy","SIAP","3404 Guadalupe St
Austin, TX 78705
(30.300525, -97.739896)"
"Informedia Video Productions","Business","Service & Support Business"," "," ","Film/TV/Media"," "," ","3"," ","3354","2014","xy","SIAP","5243 Meadow Creek Dr
Austin, TX 78745
(30.216042, -97.787902)"
"Ink Tank Artist Collective","Organization","Arts Collective"," "," ","Multidisciplinary","Ink Tank is an Austin-based artist collective roughly made of 13 transient individuals.  Together we make objects and conceptual environments, aiming to privilege the experience and not the relic. We don't live in the future, but try sometimes.","http://inktankwebsite.com","0"," ","155","2016","list","NPA_org","
Austin, TX 78702
(0.0, 0.0)"
"Inlingua Language Service","Business","Service & Support Business"," "," ","Other"," "," ","10"," ","10180","2014","xy","SIAP","3818 Spicewd Spgs Rd
Austin, TX 78759
(30.365524, -97.749177)"
"Inner Diva Studios Llc","Creative Workspace","Dance Studio"," "," ","Dance","FIND YOUR INNER DIVA!!! Instructor led fitness classes in Pole Dance, Chair Tease, BUTI, Zumba, and many more. Lose weight and tone while having a blast!
","http://www.innerdivastudios.com","6"," ","6089","2016","xy","SIAP","10401 Anderson Mill Rd
Austin, TX 78750
(30.446811, -97.809437)"
"Innes International Images","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","252","2014","list","SIAP","
Austin, TX 78716
(0.0, 0.0)"
"Innovative Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","8"," ","8079","2014","xy","SIAP","1433 Allen Rd
Austin, TX 78746
(30.272753, -97.814444)"
"Innovative Print Management","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","1"," ","1260","2014","xy","SIAP","8619 Wall St
Austin, TX 78754
(30.338597, -97.673515)"
"Inside Books Project","Organization","Community Development & Charitable Giving"," "," ","Literary Arts","Inside Books Project is an Austin-based community service volunteer organization that sends free books and educational materials to prisoners in Texas.","http://insidebooksproject.org","1"," ","1113","2014","xy","SIAP","3121 E 12Th St
Austin, TX 78702
(30.276343, -97.701969)"
"Inside Out Steel Band","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","5"," ","5015","2014","addrs","SIAP","2311 Thornton Rd
Austin, TX 78704
(30.245345, -97.771755)"
"Institute Of Modern Russian Culture At Blue Lagoon Texas Inc","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other"," "," ","2"," ","2011","2014","xy","SIAP","1306 Hyman Ln
Austin, TX 78742
(30.225247, -97.672838)"
"Institution Theater","Theater","Black Box/ Flex Space"," "," ","Theater Arts","The Institution Theater is a fully operational school on Improvisation, Sketch Writing, and Comedic Acting with 8-week programs available for different levels of experience (listed below). In addition, we occasionally offer one-off classes with easier ti","http://www.theinstitutiontheater.com/","3"," ","3272","2016","xy","NPA_ven","3708 Woodbury Drive
Austin, TX 78704
(30.225688, -97.75985)"
"Insurance Printing Solutions","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","0"," ","414","2014","xy","SIAP","197 Country Creek Rd
Austin, TX 78737
(30.169001, -97.992951)"
"Intel Building Shell","Event Venue","Event Venue"," ","Event Venue","Multidisciplinary","The Intel Shell is a building that was started and not completed. It's just a shell. The audience sits in chairs arranged in the yard of the building, outdoors, on the northeast side of the site.
CLOSED"," ","9"," ","9151","2016","xy","NPA_ven","400 West San Antonio Street
Austin, TX 78701
(30.267597, -97.748354)"
"Interior Fabrics","Business","Fabric Shops"," "," ","Textile/Apparel"," "," ","7"," ","7138","2014","xy","SIAP","7719 Burnet Rd
Austin, TX 78757
(30.3537, -97.732001)"
"International Association For The Study Of Popular Music Inc","Organization","Societies, Alliances, Professional Associations"," "," ","Music"," "," ","7"," ","7190","2014","xy","SIAP","1716 West Saint Johns Avenue
Austin, TX 78757
(30.344203, -97.728843)"
"International Association Of Bridge Structural & Ornamental Ironworker","Organization","Societies, Alliances, Professional Associations"," "," ","Craft/Design"," "," ","3"," ","3325","2014","xy","SIAP","2201 Riverside Farms Rd
Austin, TX 78741
(30.228125, -97.715452)"
"International Buddhist Progress Society","Organization","Historical Societies & Historic Preservation"," "," ","Other","Fo Guang Shan Temple Buddhist Order, explore Buddhism","http://www.ibps-austin.org","10"," ","10096","2014","xy","SIAP","6720 N Capital Of Texas Hwy
Austin, TX 78731
(30.36874, -97.789426)"
"INTERNATIONAL MULTICULTURAL COMMUNITY","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other","A community for international and multicultural people in Austin area.
","http://www.internationalmulticulturalfestival.org","0"," ","367","2016","list","NPA_org","
Austin, TX 78734
(0.0, 0.0)"
"International Music School Of Violin And Piano (Imsvp)","Education","Education, Creative Learning, Professional Development"," "," ","Music"," "," ","0"," ","335","2014","xy","SIAP","8314 Osborne Dr
Austin, TX 78729
(30.46105, -97.759939)"
"International Tap Association (Ita)","Organization","Dance Company"," "," ","Theater Arts","service org for tap dance and dancers (all volunteer)","http://www.tapdance.org","5"," ","5163","2014","xy","SIAP","2302 Western Trails Blvd
Austin, TX 78745
(30.230643, -97.794721)"
"Interstate Studio","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","7"," ","7198","2014","xy","SIAP","8711 Burnet Rd
Austin, TX 78757
(30.369369, -97.726998)"
"Invincible Czars","Organization","Band, Musical Group, Ensemble"," "," ","Music","The Invincible Czars are a hard-to-classify quintet from Austin, TX. (They're not even always a quintet.) Regarded as Austin's emperors of eclecticism, they make music for thinkers, geeks, nerds and seekers/lovers of all things in the ""other"" category. T","http://www.invincibleczars.com/","0"," ","78","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Ion Art","Business","Service & Support Business"," "," ","Craft/Design"," ","ionart.com","3"," ","3355","2016","xy","WEST_16","407 Radam Ln
Austin, TX 78745
(30.223457, -97.76988)"
"Iona Handcrafted Books","Creative Workspace","Individual Studio, Workshop"," "," ","Literary Arts"," "," ","3"," ","3073","2016","xy","SIAP","701 Tillery St
Austin, TX 78702
(30.2583, -97.705392)"
"IOSHEnt. Studio’s","Business","Recording Studio"," "," ","Music"," "," ","3"," ","3385","2016","xy","Srempe","1307 E 7th St
Austin, TX 78702
(30.264412, -97.728732)"
"IQUEST Global Enrichment Center","Organization","Education, Creative Learning, Professional Development"," "," ","Multidisciplinary"," IQuest Global Enrichment Center is an educational resource center dedicated to providing preschool to 12th grade students an opportunity to fill academic gaps, learn new skills, and discover new perspectives.  ","http://www.iquestaustin.com/about.html","0"," ","638","2016","xy","CAMP Kit D6","5145 RR 620 N.
Austin, TX 78732
(30.388718, -97.884322)"
"Irene Konig's The Art of Life Artworks","Organization","Arts Collective"," "," ","Visual Arts","Fine Artist creating original calligraphy and design artworks.","http://www.artoflife.us","0"," ","216","2016","list","NPA_org","
Austin, TX 78708
(0.0, 0.0)"
"Irie Bean Coffee Bar","Restaurant","Restaurant","Live Music"," ","Music","“Irie” (pronounced ‘eye-ree) is a Jamaican word meaning “the ultimate positive” or “the state of feeling great.”","http://www.iriebean.com","5"," ","5014","2016","addrs","NPA_ven","2310 South Lamar Boulevard
Austin, TX 78704
(30.247366, -97.775422)"
"Iron Cactus North","Restaurant","Restaurant","Live Music"," ","Music","Iron Cactus North presents live music through an in-house PA system every Thursday and Friday evening.  Cover is typically $5.  We have a capacity of 520 and we book local bands such as Vallejo and many others.  The Iron Cactus is also a ful service rest","http://www.ironcactus.com/","7"," ","7279","2016","xy","TMO_16","10001 Stonelake Blvd.
Austin, TX 0
(30.391549, -97.738586)"
"Iron Cactus South","Restaurant","Restaurant","Live Music"," ","Music","Iron Cactus South presents live music on special occassions; cover varies.  We have a capacity of 500 and we book local bands such as Vallejo and many others.  The Iron Cactus is also a full service restaurant featuring world class Mexican cuisine.","http://www.ironcactus.com/","9"," ","9643","2016","xy","TMO_16","606 Trinity Street
Austin, TX 0
(30.267395, -97.739454)"
"Iron Dragon Productions","Business","Production Company"," "," ","Film/TV/Media","Film/Production/Fitness/Health","http://www.Irondragonproductions.com","9"," ","9426","2016","xy","NPA_org","1900 Kenwood Avenue
Austin, TX 78704
(30.240907, -97.742487)"
"Iron Wave by Chris Levack","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9733","2016","xy","AIPP","1200-1244 Shoal Creek Blvd
Austin, TX 78701
(30.276578, -97.749871)"
"Ironhand","Business","Service & Support Business"," "," ","Craft/Design"," "," ","3"," ","3341","2014","xy","SIAP","102 Herrera St
Austin, TX 78742
(30.245022, -97.689326)"
"Ironwood Hall","Event Venue","Event Venue"," ","Event Venue","Music","A 6000 sq. ft event space in downtown Austin. Restored venue with barrel ceiling, brick walls, stage, vip deck, staging kitchen & bar. Capacity:  575 standing/250 table seated/350 auditorium seated. Other features include: 600 amp electrical services, 40","http://www.ironwoodhall.com/","3"," ","3145","2016","xy","TMO_16","505 East Seventh Street
Austin, TX 78702
(30.231655, -97.726188)"
"Isdg Inc","Business","Advertising, Marketing"," "," ","Graphic Design, Printmaking"," "," ","8"," ","8080","2014","xy","SIAP","609 Castle Ridge Rd
Austin, TX 78746
(30.295789, -97.829257)"
"Islamic Ahlul Bayt Association","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other","Islamic Center, prayer hall, Eng & Arabic libraries","http://www.iaba-austin.us","6"," ","6064","2014","xy","SIAP","12460 Los Indios Trl
Austin, TX 78729
(30.439709, -97.761134)"
"Islamic Center Of Greater Austin","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other","religious center","http://austinmosque.org; https://www.facebook.com/AustinMosque","1"," ","1205","2014","xy","SIAP","5110 Manor Rd
Austin, TX 78723
(30.298454, -97.687256)"
"Island Rhythms hula company","Organization","Dance Company"," "," ","Dance"," ","http://island-rhythms.com/","0"," ","496","2016","list","D3 Meeting","
Austin, TX 78749
(0.0, 0.0)"
"Issue Television Inc","Business","Service & Support Business"," "," ","Film/TV/Media"," "," ","2"," ","2069","2014","xy","SIAP","8202 Alcorn Cir
Austin, TX 78748
(30.180426, -97.794143)"
"Issue TV","Publication","TV Show/ Station"," "," ","Film/TV/Media","Issue TV is a non-profit media company that creates educational programming and media development projects for social and environmental justice. In short, we give voice to causes that need attention.
","http://www.issuetv.org","2"," ","2071","2016","xy","NPA_org","8202 Alcorn Circle
Austin, TX 78748
(30.180426, -97.794143)"
"Italian Cultural Association Of Greater Austin","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other"," "," ","10"," ","10121","2014","xy","SIAP","2904 Round Table Rd
Austin, TX 78746
(30.326404, -97.807776)"
"Italianos 1,2,3; Indian Land l; Pueblo Trees; On the Way by Priscilla Robinson","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9734","2016","xy","AIPP","201-299 E Willie Nelson Blvd
Austin, TX 78701
(30.263552, -97.742435)"
"Ixoye Productions Inc","Business","Service & Support Business"," "," ","Film/TV/Media"," "," ","6"," ","6133","2014","xy","SIAP","12703 Research Blvd
Austin, TX 78759
(30.432563, -97.764734)"
"J C Penney Portrait Studio","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","5"," ","5206","2014","xy","SIAP","9500 S Interstate 35
Austin, TX 78748
(30.157192, -97.790811)"
"J Clark Gallery","Gallery/ Museum","Gallery/ Museum"," "," ","Visual Arts"," "," ","9"," ","9317","2016","xy","SIAP","1500 W 6Th St
Austin, TX 78703
(30.274826, -97.76187)"
"J D Reid Co","Business","Supplier, Retail"," "," ","Textile/Apparel"," "," ","10"," ","10066","2014","xy","SIAP","2813 Hancock Dr
Austin, TX 78731
(30.327691, -97.749907)"
"J H & A Advertising Inc","Business","Advertising, Marketing"," "," ","Graphic Design, Printmaking"," "," ","5"," ","5120","2014","addrs","SIAP","2312 Wstrn Trls Blvd
Austin, TX 78745
(30.230427, -97.79477)"
"J R Dance Studio","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","3"," ","3232","2016","xy","SIAP","2800 S Interstate 35
Austin, TX 78704
(30.224488, -97.747106)"
"J. Haley Institute","Organization","Education, Creative Learning, Professional Development"," "," ","Multidisciplinary","The J. Haley Arts Institute works diligently at research and activities designed to promote, propagate, disseminate, actualize, and achieve an increased level of life satisfaction in any and all people we can reach. We focus on art and creativity as our"," ","0"," ","79","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"Jacal Books","Business","Bookstore, Book Dealers"," "," ","Literary Arts"," "," ","5"," ","5055","2014","xy","SIAP","1307 Kinney Ave
Austin, TX 78704
(30.254902, -97.766203)"
"Jackalope","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","The Jackalope is Austin's most notorious old school dive bar"".  Velvet paintings, a huge padded bar, great drinks, a friendly staff, amazing food, and a widely diverse crowd are our trademarks.","http://www.jackalopeaustin.com","9"," ","9061","2016","xy","NPA_ven","406 East 6Th Street
Austin, TX 78701
(30.267305, -97.739148)"
"Jackie's Performing Arts & Private Education","Education","Education, Creative Learning, Professional Development"," "," ","Theater Arts"," "," ","0"," ","495","2014","xy","SIAP","11530 Manchaca Rd
Austin, TX 78748
(30.152735, -97.833573)"
"JAELAH Fine Art & Design","Business","Service & Support Business"," "," ","Visual Arts","Interdisciplinary Fine Art & Design by Jaelah Kuehmichel.
","http://www.jaelahfad.com","3"," ","3117","2016","xy","NPA_org","916 Springdale Rd
Austin, TX 78702
(30.261871, -97.698289)"
"Jake North Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," ","www.jakenorthphotography.com/","10"," ","10155","2016","addrs","D9 Meeting","10115 Spicewood Mesa
Austin, TX 78759
(30.419507, -97.790355)"
"Jalisco's Mexican Food","Restaurant","Restaurant"," "," ","Other","authentic","http://jaliscosaustin.com/","2"," ","2058","2016","addrs","D1 Meeting","6601 South Congress Ave
Austin, TX 78745
(30.194572, -97.7781)"
"James A. Michener Center for Writers","Organization","Education, Creative Learning, Professional Development"," "," ","Film/TV/Media","The MFA in Writing is a three-year, full-time residency program, unique in its interdisciplinary focus. While writers apply and are admitted in a primary field of concentration—chosen from fiction, poetry, playwriting or screenwriting—they ha"," ","9"," ","9506","2016","xy","NPA_org","702 East Dean Keeton Street
Austin, TX 78705
(30.289552, -97.732764)"
"James Bowie Silver Stars Dance Team","Organization","Dance Company"," "," ","Dance"," "," ","8"," ","8149","2014","xy","SIAP","4103 W Slaughter Ln
Austin, TX 78749
(30.189016, -97.857181)"
"James Griffith Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","3"," ","3118","2014","xy","SIAP","2401 E 6Th St
Austin, TX 78702
(30.25911, -97.715979)"
"Jan Seides Music Studio","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","1"," ","1206","2014","xy","SIAP","7311 Bucknell Dr
Austin, TX 78723
(30.321848, -97.672804)"
"Jankedesign","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","9"," ","9294","2014","xy","SIAP","1100 W 6Th St
Austin, TX 78703
(30.272194, -97.754862)"
"Japan-America Society of Greater Austin","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other","The Japan-America Society of Greater Austin, Inc. (JASGA) is a nonprofit organization bridging the cultures of Japan and central Texas by promoting friendly US-Japan relations through educational and cultural programs for its members and the Austin and C","http://www.jasga.org","0"," ","600","2016","list","NPA_org","
Austin, TX 78766
(0.0, 0.0)"
"Japanese America Society Of Greater Austin","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other","Japanese language/culture classes, events","http://www.jasga.org","0"," ","601","2014","list","SIAP","
Austin, TX 78766
(0.0, 0.0)"
"Jay Conlon Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","1"," ","1077","2014","xy","SIAP","1104 E 8Th St
Austin, TX 78702
(30.266622, -97.729847)"
"Jazz Ballet Company","Organization","Dance Company"," "," ","Dance","Non profit, multi-cultural ballet company serving Austin and surrounding areas."," ","8"," ","8150","2016","xy","NPA_org","4305 Molokai Dr
Austin, TX 78749
(30.209595, -97.846946)"
"Jeanette The Bellydancer","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","0"," ","180","2016","list","SIAP","
Austin, TX 78704
(0.0, 0.0)"
"Jeanne Sasaki Arts Management","Business","Service & Support Business"," "," ","Visual Arts"," "," ","10"," ","10181","2014","xy","SIAP","5806 Tributary Ridge Dr
Austin, TX 78759
(30.409478, -97.758663)"
"Jeff Loftin Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","6"," ","6105","2014","xy","SIAP","10810 Keystone Bnd
Austin, TX 78750
(30.430653, -97.798155)"
"Jeff Ryder's Drum Shop","Business","Supplier, Retail"," "," ","Music"," "," ","10"," ","10154","2014","xy","SIAP","3300 W Anderson Ln
Austin, TX 78757
(30.361575, -97.743705)"
"Jellifi","Business","Event Production"," "," ","Multidisciplinary","Jellifi is an online matchmaker for events. From caterers to bartenders and photographers, find anything you need for your next party on Jellifi.com","http://www.Jellifi.com","5"," ","5091","2016","xy","NPA_org","708 South Lamar
Austin, TX 78704
(30.258517, -97.75956)"
"Jennifer Chenoweth @ Fisterra Studio","Creative Workspace","Individual Studio, Workshop"," "," ","Music","Artist's studio creating contemporary abstract painting and sculpture","http://fisterrastudio.com","3"," ","3079","2016","xy","SIAP","1200 E 2Nd St
Austin, TX 78702
(30.261057, -97.732013)"
"John Wilson Illustration","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","9"," ","9385","2014","xy","SIAP","1907 Newton St
Austin, TX 78704
(30.24563, -97.753261)"
"Jennifer Sherburn","Organization","Theater Company"," "," ","Theater Arts","Our mission is to illuminate the connection and importance between humanity and artistic expression through provocative, fearless live performance.","http://jennifersherburn.com","3"," ","3326","2016","xy","NPA_org","6805 Santos St
Austin, TX 78741
(30.226463, -97.697142)"
"Jeremiah the Innocent by Daniel Johnston (""Hi How Are You?"")","Public Art","Public Art-Community Initiated"," "," ","Visual Arts"," "," ","9"," ","9681","2016","addrs","D1 Meeting","408 W 21st St
Austin, TX 78705
(30.28405, -97.742588)"
"Jerry's Artarama","Business","Supplier, Retail"," "," ","Visual Arts"," "," ","4"," ","4055","2014","xy","SIAP","6010 N Interstate 35
Austin, TX 78752
(30.320445, -97.707676)"
"Jessica Mitchell Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","9"," ","9119","2014","xy","SIAP","1108 Lavaca St
Austin, TX 78701
(30.273616, -97.743718)"
"Jester King Brewery","Restaurant","Restaurant","Live Music"," ","Music","Jester King is an authentic farmhouse brewery committed to making artisan ales of great depth and character. Like the small, farmhouse breweries that inspired us, we seek to embrace nature and local terroir in our brewing, giving our beers a true sense o","http://jesterkingbrewery.com/","0"," ","402","2016","xy","TMO_16","13005 Fitzhugh Road
Austin, TX 78736
(30.231259, -97.99858)"
"Jewelry John Studio","Creative Workspace","Individual Studio, Workshop"," "," ","Textile/Apparel"," "," ","6"," ","6048","2016","xy","SIAP","13218 Pond Springs Rd
Austin, TX 78729
(30.445709, -97.779477)"
"Jewish Community Association Of Austin (JCAA)","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Other","The Jewish Community Association of Austin (JCAA) supports an innovative community where Jewish living and learning can thrive. Located primarily on the 40-acre Dell Jewish Community Campus in Northwest Austin, the JCAA provides a vast array of services","http://shalomaustin.org","10"," ","10087","2014","xy","SIAP","7300 Hart Ln
Austin, TX 78731
(30.356987, -97.755341)"
"Jigglewatts Risque Cabaret","Organization","Theater Company"," "," ","Theater Arts","The Jigglewatts is a cabaret and burlesque troupe based in Austin, TX. From full length productions to cabaret style shows, their specialty lies in their incredible variety of moods and styles, all offered forth with the elegance and humor of a bygone er","http://www.thejigglewatts.com","0"," ","80","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Jim Lincoln Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","6"," ","6106","2014","xy","SIAP","8805 Balcones Club Dr
Austin, TX 78750
(30.437812, -97.786661)"
"Jimmy Clay by Daniel Hawkins","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","2","COA","2091","2016","xy","AIPP","5400 Jimmy Clay Dr
Austin, TX 78744
(30.185228, -97.732321)"
"Jn9Ne Creative","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","0"," ","210","2014","list","SIAP","
Austin, TX 78708
(0.0, 0.0)"
"Jo-Ann Fabrics & Crafts","Business","Fabric Shops"," "," ","Textile/Apparel"," "," ","5"," ","5196","2014","xy","SIAP","9500 S Interstate 35
Austin, TX 78748
(30.157192, -97.790811)"
"Jo-Ann Fabrics & Crafts","Business","Fabric Shops"," "," ","Textile/Apparel"," "," ","7"," ","7262","2014","xy","SIAP","10515 N Mopac Expy
Austin, TX 78759
(30.393049, -97.732433)"
"Joe Priesnitz Artist Management","Business","Talent Management"," "," ","Theater Arts"," "," ","10"," ","10016","2014","xy","SIAP","2101 Highgrove Ter
Austin, TX 78703
(30.281055, -97.768235)"
"Joe Spitler Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","493","2014","xy","SIAP","3009 Six Gun Trail
Austin, TX 78748
(30.160873, -97.85208)"
"Johanne's Fine Art","Business","Service & Support Business"," "," ","Visual Arts"," "," ","6"," ","6003","2014","addrs","SIAP","2000 Windy Ter
Austin, TX 78704
(30.457973, -97.821611)"
"John Christian Co","Creative Workspace","Individual Studio, Workshop"," "," ","Textile/Apparel"," "," ","0"," ","405","2016","xy","SIAP","14101 W Highway 290
Austin, TX 78737
(30.209866, -97.970975)"
"John Jefferson Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","6"," ","6107","2014","xy","SIAP","10433 Firethorn Ln
Austin, TX 78750
(30.454098, -97.800709)"
"John Pearson Sound Services","Business","Recording Studio"," "," ","Music"," "," ","2"," ","2075","2016","xy","Srempe","7308 S Congress
Austin, TX 78745
(30.186235, -97.781568)"
"John Stafford","Business","Service & Support Business"," "," ","Film/TV/Media"," "," ","6"," ","6108","2014","xy","SIAP","9304 Cedar Forest Dr
Austin, TX 78750
(30.440228, -97.796789)"
"John Trevino Junior Park","Public Park","Public Park"," "," ","Other","Named for 1st Latino council member for city of Austin","http://austintexas.gov/page/park-directory","0"," ","291","2016","addrs","D1 Meeting","9501 FM 969
Austin, TX 78725
(30.270652, -97.630128)"
"Johnson Creek trail","Public Park","Public Park"," "," ","Other","Public Trail connecting to Lady Bird Lake"," ","10"," ","10236","2016","xy","Wikimap","Johnson Creek
Austin, TX 78703
(30.281911, -97.766977)"
"Jolly Design Inc","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","6"," ","6021","2014","xy","SIAP","12600 Alberta Ridge Trl
Austin, TX 78726
(30.425066, -97.859021)"
"Jolly-Ville Plateau Salamander by Jules Jones","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","6","COA","6145","2016","xy","AIPP","7001-7115 Ranch Rd 620 N
Austin, TX 78730
(30.404217, -97.853705)"
"Jo's Coffee","Restaurant","Restaurant","Live Music"," ","Music","The original Jo's Hot Coffee - Good Food sits on the corner of James and South Congress, in the heart of the most vibrant section of South Austin. This funky little coffee shack shares a parking lot with the San Jose Hotel, the hippest hotel in town, and","http://www.joscoffee.com/","9"," ","9441","2016","xy","TMO_16","1300 South Congress
Austin, TX 78704
(30.251046, -97.749391)"
"Jo's Coffee House","Restaurant","Restaurant","Live Music"," ","Music","Coffee Shop in Austin. Used as a venue for local events.","www.joscoffee.com","1"," ","1008","2016","xy","NPA_ven","1300 S Congress Ave
Austin, TX 0
(30.27587, -97.740219)"
"Jose Maria Morelos y Pavon by Juan Antonio Lugo Villegas","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9735","2016","xy","AIPP","400 Guadalupe St
Austin, TX 78701
(30.267405, -97.746928)"
"Joseph And Susanna Dickinson Hannig Museum, City Of Austin, Parks & Recreation","Gallery/ Museum","Gallery/ Museum"," "," ","Other","Museum row, program, ed resources","http://www.austintexas.gov/department/joseph-and-susanna-dickinson-hannig-museum; www.susannadickinsonmuseum.org","9","COA","9160","2016","xy","SIAP","411 E 5Th St
Austin, TX 78701
(30.265834, -97.739634)"
"Joseph Wright Imports Llc","Business","Talent Management"," "," ","Theater Arts"," "," ","7"," ","7225","2014","xy","SIAP","9705 Burnet Rd
Austin, TX 78758
(30.380911, -97.724321)"
"Joy Music Live","Organization","Societies, Alliances, Professional Associations"," "," ","Music","JoyMusicLive.com is an online music community in Austin, Texas with a home-base in Rome Italy! JoyMusicLive.com is THE premier community, SOLEY dedicated to helping up and coming artists promote their music to NEW audiences, collaborate with other musici","http://www.joymusiclive.com","1"," ","1268","2016","xy","NPA_org","12041 Dessau Rd
Austin, TX 78754
(30.380315, -97.652652)"
